machine_id,accession,object_id,title_en,title_zh,culture,period,object_date,medium,dimensions,classification,department,credit_line,public_domain,object_url,api_url,primary_image,primary_image_small,additional_image_count,additional_images,source_merge,range_352_460_member,working_107_member,boundary_role,book_match_status,working_core_hypothesis,preferred_download_url,download_status
MET:2025.374,2025.374,911854,Ladies with Peony Flowers,牡丹仕女圖,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 29 1/2 × 19 in. (74.9 × 48.3 cm)
Overall with mounting: 29 1/2 × 19 in. (74.9 × 48.3 cm)",Prints,Asian Art,"Purchase, Gift of Mrs. Samuel T. Peters, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911854,https://collectionapi.metmuseum.org/public/collection/v1/objects/911854,https://images.metmuseum.org/CRDImages/as/original/DP-41278-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41278-001.jpg,0,,prior_successful_api_fallback_after_transient_403,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41278-001.jpg,official_original_public_domain
MET:2025.375,2025.375,911857,The Holy Emperor Lord Guan,,"China, Suzhou",Ming dynasty (1368–1644)?,,Woodblock print; ink on paper with additional hand coloring,"Image: 18 7/8 × 21 1/4 in. (47.9 × 54 cm)
Overall with mounting: 18 7/8 × 21 1/4 in. (47.9 × 54 cm)",Prints,Asian Art,"Purchase, Jane and Raphael Bernstein Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911857,https://collectionapi.metmuseum.org/public/collection/v1/objects/911857,https://images.metmuseum.org/CRDImages/as/original/DP-40846-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40846-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-40846-001.jpg,official_original_public_domain
MET:2025.376,2025.376,911858,New Year’s Day,歲朝圖,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",1747,Woodblock print; ink on paper with additional hand coloring,"Image: 37 × 21 1/16 in. (94 × 53.5 cm)
Overall with mounting: 40 1/2 × 22 11/16 in. (102.9 × 57.6 cm)",Prints,Asian Art,"Florence and Herbert Irving Acquisitions Fund for Asian Art, 2025",1,https://www.metmuseum.org/art/collection/search/911858,https://collectionapi.metmuseum.org/public/collection/v1/objects/911858,https://images.metmuseum.org/CRDImages/as/original/DP-41280-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41280-001.jpg,0,,prior_successful_api_fallback_after_transient_403,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41280-001.jpg,official_original_public_domain
MET:2025.377,2025.377,911860,Scenic Sites of Famous Mount Putuo on the Southern Sea,,"China, Suzhou","Qing dynasty (1644–1911), Xianfeng period (1851–61)",,Woodblock print; ink on paper,"Image: 44 3/4 × 23 13/16 in. (113.7 × 60.5 cm)
Overall with mounting: 77 × 28 11/16 in. (195.6 × 72.9 cm)
Overall with knobs: 77 × 32 5/8 in. (195.6 × 82.9 cm)",Prints,Asian Art,"Purchase, John Stewart Kennedy Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911860,https://collectionapi.metmuseum.org/public/collection/v1/objects/911860,https://images.metmuseum.org/CRDImages/as/original/DP-41281-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41281-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-41281-001.jpg,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41281-002.jpg,official_original_public_domain
MET:2025.378,2025.378,911861,Gusu Beauty in Winter,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 32 3/8 × 23 3/8 in. (82.2 × 59.4 cm)
Panel: 44 1/8 × 24 1/4 in. (112.1 × 61.6 cm)",Prints,Asian Art,"Purchase, Jane and Raphael Bernstein Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911861,https://collectionapi.metmuseum.org/public/collection/v1/objects/911861,https://images.metmuseum.org/CRDImages/as/original/DP-41282-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41282-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41282-001.jpg,official_original_public_domain
MET:2025.379,2025.379,911867,"Woman teaching children to paint, from four-print set “Women teaching children the four accomplishments”",,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 43 3/8 × 23 3/4 in. (110.2 × 60.3 cm)
Panel: 43 3/4 × 24 in. (111.1 × 61 cm)",Prints,Asian Art,"Douglas Dillon Fund, 2025",1,https://www.metmuseum.org/art/collection/search/911867,https://collectionapi.metmuseum.org/public/collection/v1/objects/911867,https://images.metmuseum.org/CRDImages/as/original/DP-41283-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41283-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41283-001.jpg,official_original_public_domain
MET:2025.380,2025.380,911868,"Woman teaching children to read and write calligraphy, from four-print set “Women teaching children the four accomplishments”",,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 43 1/8 × 23 9/16 in. (109.5 × 59.8 cm)
Frame: 43 3/4 × 24 in. (111.1 × 61 cm)",Prints,Asian Art,"Douglas Dillon Fund, 2025",1,https://www.metmuseum.org/art/collection/search/911868,https://collectionapi.metmuseum.org/public/collection/v1/objects/911868,https://images.metmuseum.org/CRDImages/as/original/DP-41284-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41284-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41284-001.jpg,official_original_public_domain
MET:2025.381,2025.381,911871,"Woman teaching children to play chess, from four-print set “Women teaching children the four accomplishments”",,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 42 1/4 × 22 5/8 in. (107.3 × 57.5 cm)
Framed: 44 × 24 1/4 in. (111.8 × 61.6 cm)",Prints,Asian Art,"Douglas Dillon Fund, 2025",1,https://www.metmuseum.org/art/collection/search/911871,https://collectionapi.metmuseum.org/public/collection/v1/objects/911871,https://images.metmuseum.org/CRDImages/as/original/DP-41285-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41285-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41285-001.jpg,official_original_public_domain
MET:2025.382,2025.382,911872,"Woman teaching children to play the guqin zither, from four-print set “Women teaching children the four accomplishments""",,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 44 1/4 × 24 1/2 in. (112.4 × 62.2 cm)
Sheet: 44 5/8 × 24 7/8 in. (113.3 × 63.2 cm)",Prints,Asian Art,"Douglas Dillon Fund, 2025",1,https://www.metmuseum.org/art/collection/search/911872,https://collectionapi.metmuseum.org/public/collection/v1/objects/911872,https://images.metmuseum.org/CRDImages/as/original/DP-41286-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41286-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41286-001.jpg,official_original_public_domain
MET:2025.383,2025.383,911954,Mother and Son by a Pavilion,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,Image: 38 5/8 × 21 3/4 in. (98.1 × 55.2 cm),Prints,Asian Art,"Purchase, Robert Hatfield Ellsworth Bequest, 2025",1,https://www.metmuseum.org/art/collection/search/911954,https://collectionapi.metmuseum.org/public/collection/v1/objects/911954,https://images.metmuseum.org/CRDImages/as/original/DP-41473-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41473-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41473-001.jpg,official_original_public_domain
