machine_id,accession,object_id,title_en,title_zh,medium,classification,credit_line,public_domain,object_url,primary_image,primary_image_small,additional_image_count,additional_images,preferred_download_url,download_status,book_match_status
MET:2025.375,2025.375,911857,The Holy Emperor Lord Guan,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Jane and Raphael Bernstein Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911857,https://images.metmuseum.org/CRDImages/as/original/DP-40846-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40846-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-40846-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.376,2025.376,911858,New Year’s Day,歲朝圖,Woodblock print; ink on paper with additional hand coloring,Prints,"Florence and Herbert Irving Acquisitions Fund for Asian Art, 2025",1,https://www.metmuseum.org/art/collection/search/911858,https://images.metmuseum.org/CRDImages/as/original/DP-41280-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41280-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41280-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.377,2025.377,911860,Scenic Sites of Famous Mount Putuo on the Southern Sea,,Woodblock print; ink on paper,Prints,"Purchase, John Stewart Kennedy Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911860,https://images.metmuseum.org/CRDImages/as/original/DP-41281-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41281-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-41281-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-41281-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.378,2025.378,911861,Gusu Beauty in Winter,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Jane and Raphael Bernstein Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911861,https://images.metmuseum.org/CRDImages/as/original/DP-41282-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41282-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41282-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.379,2025.379,911867,"Woman teaching children to paint, from four-print set “Women teaching children the four accomplishments”",,Woodblock print; ink on paper with additional hand coloring,Prints,"Douglas Dillon Fund, 2025",1,https://www.metmuseum.org/art/collection/search/911867,https://images.metmuseum.org/CRDImages/as/original/DP-41283-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41283-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41283-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.380,2025.380,911868,"Woman teaching children to read and write calligraphy, from four-print set “Women teaching children the four accomplishments”",,Woodblock print; ink on paper with additional hand coloring,Prints,"Douglas Dillon Fund, 2025",1,https://www.metmuseum.org/art/collection/search/911868,https://images.metmuseum.org/CRDImages/as/original/DP-41284-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41284-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41284-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.381,2025.381,911871,"Woman teaching children to play chess, from four-print set “Women teaching children the four accomplishments”",,Woodblock print; ink on paper with additional hand coloring,Prints,"Douglas Dillon Fund, 2025",1,https://www.metmuseum.org/art/collection/search/911871,https://images.metmuseum.org/CRDImages/as/original/DP-41285-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41285-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41285-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.382,2025.382,911872,"Woman teaching children to play the guqin zither, from four-print set “Women teaching children the four accomplishments""",,Woodblock print; ink on paper with additional hand coloring,Prints,"Douglas Dillon Fund, 2025",1,https://www.metmuseum.org/art/collection/search/911872,https://images.metmuseum.org/CRDImages/as/original/DP-41286-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41286-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41286-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.383,2025.383,911954,Mother and Son by a Pavilion,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Robert Hatfield Ellsworth Bequest, 2025",1,https://www.metmuseum.org/art/collection/search/911954,https://images.metmuseum.org/CRDImages/as/original/DP-41473-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41473-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41473-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.384,2025.384,911873,Gilding the Lily,錦上添花,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, C.C. Wang Family Fund Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911873,https://images.metmuseum.org/CRDImages/as/original/DP-41287-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41287-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41287-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.385,2025.385,911874,Story of the Western Chamber,,HaHanging scroll; woodblock print; two shades of ink on paper with additional hand coloring,Prints,"Purchase, C.C. Wang Family Fund Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911874,https://images.metmuseum.org/CRDImages/as/original/DP-40658-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40658-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40658-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40658-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.386,2025.386,911875,Yang Guifei  and the Tang Emperor Minghuang,,Hanging scroll; woodblock print; ink on paper,Prints,"Purchase, Robert Hatfield Ellsworth Bequest, 2025",1,https://www.metmuseum.org/art/collection/search/911875,https://images.metmuseum.org/CRDImages/as/original/DP-40659-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40659-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40659-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40659-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.387,2025.387,911876,Taozhu Brings Wealth,,Woodblock print; ink on paper,Prints,"Purchase by subscription, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911876,https://images.metmuseum.org/CRDImages/as/original/DP-41290-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41290-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-41290-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-41290-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.388,2025.388,911877,Picture of a Happy Family,,Hanging scroll; woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Gift of Mrs. Samuel T. Peters, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911877,https://images.metmuseum.org/CRDImages/as/original/DP-40660-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40660-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40660-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40660-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.389,2025.389,911879,Twenty-Eight Constellations Battle at Kunyang,,Hanging scroll; woodblock print; ink on paper with additional hand coloring,Prints,"Purchase by subscription, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911879,https://images.metmuseum.org/CRDImages/as/original/DP-40661-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40661-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40661-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40661-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.390,2025.390,911881,Scenic View of Yueyang Tower,,Hanging scroll; woodblock print; ink on paper with additional hand coloring,Prints,"Florence and Herbert Irving Acquisitions Fund for Asian Art, 2025",1,https://www.metmuseum.org/art/collection/search/911881,https://images.metmuseum.org/CRDImages/as/original/DP-40662-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40662-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40662-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40662-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.391,2025.391,911887,Two Beauties Enjoy a Butterfly,,Hanging scroll; woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Gift of Mrs. Samuel T. Peters, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911887,https://images.metmuseum.org/CRDImages/as/original/DP-40663-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40663-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40663-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40663-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.392,2025.392,911889,The Herd Boy and the Weaving Maiden,,Hanging scroll; woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, C.C. Wang Family Fund Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911889,https://images.metmuseum.org/CRDImages/as/original/DP-40664-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40664-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40664-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40664-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.393,2025.393,911890,A Prevailing Mood of Harmony,,Hanging scroll; woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, C.C. Wang Family Fund Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911890,https://images.metmuseum.org/CRDImages/as/original/DP-40665-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40665-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40665-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40665-002.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.394,2025.394,911891,The Spring Ox,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Robert Hatfield Ellsworth Bequest, 2025",1,https://www.metmuseum.org/art/collection/search/911891,https://images.metmuseum.org/CRDImages/as/original/DP-40847-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40847-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-40847-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.395,2025.395,911892,Parrot on a Peach Branch,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Jane and Raphael Bernstein Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911892,https://images.metmuseum.org/CRDImages/as/original/DP-41298-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41298-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41298-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.396,2025.396,911893,Zhaojun Leaves for the North,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase by subscription, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911893,https://images.metmuseum.org/CRDImages/as/original/DP-41299-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41299-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41299-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.397,2025.397,911897,Satirical Prints of Suzhou Customs,,Woodblock print; ink on paper,Prints,"Purchase by subscription, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911897,https://images.metmuseum.org/CRDImages/as/original/DP-40848-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40848-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-40848-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.398,2025.398,911898,Satirical Prints of Suzhou Customs,,Woodblock print; ink on paper,Prints,"Purchase, Gift of Edna H. Sachs, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911898,https://images.metmuseum.org/CRDImages/as/original/DP-40849-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40849-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-40849-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.399,2025.399,911900,Satirical Prints of Suzhou Customs,,Woodblock print; ink on paper,Prints,"Purchase, Bequest of Flora E. Whiting, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911900,https://images.metmuseum.org/CRDImages/as/original/DP-40850-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40850-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-40850-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.400,2025.400,911904,Two Beauties Picking Dates,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Bequest of Annie C. Kane, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911904,https://images.metmuseum.org/CRDImages/as/original/DP-40851-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40851-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-40851-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.401,2025.401,911907,Print in Western Style with Western Text,,Woodblock print; ink on paper,Prints,"Purchase, Bequest of Isaac D. Fletcher, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911907,https://images.metmuseum.org/CRDImages/as/original/DP-40852-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40852-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-40852-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.402,2025.402,911909,Scenic Spots of Zhenjiang,鎮江胜境,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase, Bequest of Annie C. Kane, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911909,https://images.metmuseum.org/CRDImages/as/original/DP-40853-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40853-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-40853-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.403,2025.403,911910,The Beautiful Scenery of West Lake,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase by subscription, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911910,https://images.metmuseum.org/CRDImages/as/original/DP-40854-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40854-001.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-41306-001.jpg,https://images.metmuseum.org/CRDImages/as/original/DP-40854-001.jpg,official_original_public_domain,pending_catalogue_concordance
MET:2025.404,2025.404,911911,Lady Holding a Brush,,Woodblock print; ink on paper with additional hand coloring,Prints,"Purchase by subscription, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911911,https://images.metmuseum.org/CRDImages/as/original/DP-41307-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41307-001.jpg,0,,https://images.metmuseum.org/CRDImages/as/original/DP-41307-001.jpg,official_original_public_domain,pending_catalogue_concordance
