working_220_id,museum_code,museum_name,accession,object_id,record_type,cover_accession_number,title_en,title_zh,culture,date_or_period,medium_or_technique,classification_or_type,object_url,api_url,public_domain,original_image_url,print_image_url,web_image_url,additional_images,additional_image_count,downloadable_original,download_status,museum_core_version,museum_core_status,boundary_hypothesis,boundary_confidence,book_catalogue_no,book_plate_no,book_page,book_match_status,book_match_basis,book_match_confidence,notes
CMA:2025.54,CMA,Cleveland Museum of Art,2025.54,679082,object,,Li Taibai Reading,李太⽩讀書圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.54,https://openaccess-api.clevelandart.org/api/artworks/2025.54,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.55,CMA,Cleveland Museum of Art,2025.55,679083,object,,"Fisherman, Woodcutter, Farmer, and Scholar",漁樵耕讀,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Hanging scroll; woodblock print; ink on paper,Print,https://clevelandart.org/art/2025.55,https://openaccess-api.clevelandart.org/api/artworks/2025.55,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.56,CMA,Cleveland Museum of Art,2025.56,679084,object,,The Herd Boy and the Weaving Maiden,牛郎織女,"['China, Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.56,https://openaccess-api.clevelandart.org/api/artworks/2025.56,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.58,CMA,Cleveland Museum of Art,2025.58,679086,object,,Boys Playing,嬰戲圖,"['China, Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.58,https://openaccess-api.clevelandart.org/api/artworks/2025.58,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.59,CMA,Cleveland Museum of Art,2025.59,679087,object,,Boy Bringing Wealth,招財童子,"['China, Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.59,https://openaccess-api.clevelandart.org/api/artworks/2025.59,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.62,CMA,Cleveland Museum of Art,2025.62,679092,object,,Satirical Prints of Suzhou Customs,蘇州風俗諷刺畫,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1760,Woodblock print; ink on paper,Print,https://clevelandart.org/art/2025.62,https://openaccess-api.clevelandart.org/api/artworks/2025.62,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.63,CMA,Cleveland Museum of Art,2025.63,679090,object,,Satirical Prints of Suzhou Customs,蘇州風俗諷刺畫,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1760,Woodblock print; ink on paper,Print,https://clevelandart.org/art/2025.63,https://openaccess-api.clevelandart.org/api/artworks/2025.63,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.64,CMA,Cleveland Museum of Art,2025.64,679091,object,,Satirical Prints of Suzhou Customs,蘇州風俗諷刺畫,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1760,Woodblock print; ink on paper,Print,https://clevelandart.org/art/2025.64,https://openaccess-api.clevelandart.org/api/artworks/2025.64,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.65,CMA,Cleveland Museum of Art,2025.65,679093,object,,A Fisherman's Daughter,漁家女,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.65,https://openaccess-api.clevelandart.org/api/artworks/2025.65,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.66,CMA,Cleveland Museum of Art,2025.66,679094,object,,Story of the Western Chamber – The Delivery of the Love Letter,西廂記 – 寄簡傳情,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.66,https://openaccess-api.clevelandart.org/api/artworks/2025.66,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.67,CMA,Cleveland Museum of Art,2025.67,679095,object,,Destined to Succeed in the Examinations,必定中舉圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.67,https://openaccess-api.clevelandart.org/api/artworks/2025.67,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.68,CMA,Cleveland Museum of Art,2025.68,679096,object,,Print in Western Style with Western Text,丁氏仿泰西筆意墨線版畫,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Kangxi reign (1662–1722) to Yongzheng reign (1723–35)']",1662–1735,Woodblock print; ink on paper,Print,https://clevelandart.org/art/2025.68,https://openaccess-api.clevelandart.org/api/artworks/2025.68,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.69,CMA,Cleveland Museum of Art,2025.69,679097,object,,Distinguishing Good from Evil,善惡分明,"['China, Qing dynasty (1644–1911), Jiaqing period (1796–1820)']",1796–1820,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.69,https://openaccess-api.clevelandart.org/api/artworks/2025.69,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
