machine_id,accession,object_id,title_en,title_zh,culture,period,object_date,medium,dimensions,classification,department,credit_line,is_public_domain,object_url,api_url,primary_image,primary_image_small,additional_image_count,additional_images,has_primary_image,multipart_candidate,multipart_hint,api_checked_utc
MET:2025.383,2025.383,911954,Mother and Son by a Pavilion,亭畔母子圖,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,Image: 38 5/8 × 21 3/4 in. (98.1 × 55.2 cm),Prints,Asian Art,"Purchase, Robert Hatfield Ellsworth Bequest, 2025",1,https://www.metmuseum.org/art/collection/search/911954,https://collectionapi.metmuseum.org/public/collection/v1/objects/911954,https://images.metmuseum.org/CRDImages/as/original/DP-41473-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41473-001.jpg,0,,1,0,,2026-08-18T03:30:56.905252+00:00
MET:2025.384,2025.384,911873,Gilding the Lily,錦上添花,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 37 5/8 × 20 1/8 in. (95.5 × 51.1 cm)
Framed: 48 3/8 × 30 5/8 in. (122.9 × 77.8 cm)",Prints,Asian Art,"Purchase, C.C. Wang Family Fund Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911873,https://collectionapi.metmuseum.org/public/collection/v1/objects/911873,https://images.metmuseum.org/CRDImages/as/original/DP-41287-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41287-001.jpg,0,,1,0,,2026-08-18T03:30:57.212627+00:00
MET:2025.385,2025.385,911874,Story of the Western Chamber,清乾隆 仁和軒印刷 西廂圖 版畫,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,HaHanging scroll; woodblock print; two shades of ink on paper with additional hand coloring,"Image: 40 3/4 × 21 3/4 in. (103.5 × 55.2 cm)
Overall with mounting: 70 1/2 × 25 3/4 in. (179.1 × 65.4 cm)
Overall with knobs: 70 1/2 × 27 1/2 in. (179.1 × 69.9 cm)",Prints,Asian Art,"Purchase, C.C. Wang Family Fund Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911874,https://collectionapi.metmuseum.org/public/collection/v1/objects/911874,https://images.metmuseum.org/CRDImages/as/original/DP-40658-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40658-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40658-001.jpg,1,0,,2026-08-18T03:30:57.631238+00:00
MET:2025.386,2025.386,911875,Yang Guifei  and the Tang Emperor Minghuang,楊貴妃與唐明皇,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper,"Image: 40 7/8 × 22 1/4 in. (103.8 × 56.5 cm)
Overall with mounting: 71 3/4 × 28 in. (182.2 × 71.1 cm)
Overall with knobs: 71 3/4 × 30 1/16 in. (182.2 × 76.4 cm)",Prints,Asian Art,"Purchase, Robert Hatfield Ellsworth Bequest, 2025",1,https://www.metmuseum.org/art/collection/search/911875,https://collectionapi.metmuseum.org/public/collection/v1/objects/911875,https://images.metmuseum.org/CRDImages/as/original/DP-40659-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40659-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40659-001.jpg,1,0,,2026-08-18T03:30:58.157416+00:00
MET:2025.387,2025.387,911876,Taozhu Brings Wealth,陶朱致富圖,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper,"Image: 43 5/16 × 23 1/8 in. (110 × 58.7 cm)
Overall with mounting: 77 5/8 × 30 1/16 in. (197.2 × 76.4 cm)
Overall with knobs: 77 5/8 × 33 3/4 in. (197.2 × 85.7 cm)",Prints,Asian Art,"Purchase by subscription, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911876,https://collectionapi.metmuseum.org/public/collection/v1/objects/911876,https://images.metmuseum.org/CRDImages/as/original/DP-41290-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41290-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-41290-001.jpg,1,0,,2026-08-18T03:30:58.413944+00:00
MET:2025.388,2025.388,911877,Picture of a Happy Family,合家歡,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 22 15/16 × 41 3/4 in. (58.3 × 106 cm)
Overall with mounting: 46 3/4 × 44 3/4 in. (118.7 × 113.7 cm)
Overall with knobs: 46 3/4 × 49 in. (118.7 × 124.5 cm)",Prints,Asian Art,"Purchase, Gift of Mrs. Samuel T. Peters, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911877,https://collectionapi.metmuseum.org/public/collection/v1/objects/911877,https://images.metmuseum.org/CRDImages/as/original/DP-40660-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40660-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40660-001.jpg,1,0,,2026-08-18T03:30:58.591745+00:00
MET:2025.389,2025.389,911879,Twenty-Eight Constellations Battle at Kunyang,二十八宿鬧昆陽,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 40 3/8 × 21 1/4 in. (102.5 × 54 cm)
Overall with mounting: 74 × 25 7/16 in. (188 × 64.6 cm)
Overall with knobs: 74 × 27 3/4 in. (188 × 70.5 cm)",Prints,Asian Art,"Purchase by subscription, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911879,https://collectionapi.metmuseum.org/public/collection/v1/objects/911879,https://images.metmuseum.org/CRDImages/as/original/DP-40661-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40661-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40661-001.jpg,1,0,,2026-08-18T03:30:59.091674+00:00
MET:2025.390,2025.390,911881,Scenic View of Yueyang Tower,岳陽樓勝景,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 39 7/16 × 21 1/2 in. (100.2 × 54.6 cm)
Overall with mounting: 76 7/8 × 25 5/8 in. (195.3 × 65.1 cm)
Overall with knobs: 76 7/8 × 29 1/8 in. (195.3 × 74 cm)",Prints,Asian Art,"Florence and Herbert Irving Acquisitions Fund for Asian Art, 2025",1,https://www.metmuseum.org/art/collection/search/911881,https://collectionapi.metmuseum.org/public/collection/v1/objects/911881,https://images.metmuseum.org/CRDImages/as/original/DP-40662-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40662-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40662-001.jpg,1,0,,2026-08-18T03:30:59.559476+00:00
MET:2025.391,2025.391,911887,Two Beauties Enjoy a Butterfly,雙美賞蝶,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 40 5/8 × 22 7/8 in. (103.2 × 58.1 cm)
Overall with mounting: 65 1/8 × 25 5/8 in. (165.4 × 65.1 cm)
Overall with knobs: 65 1/8 × 27 3/8 in. (165.4 × 69.5 cm)",Prints,Asian Art,"Purchase, Gift of Mrs. Samuel T. Peters, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911887,https://collectionapi.metmuseum.org/public/collection/v1/objects/911887,https://images.metmuseum.org/CRDImages/as/original/DP-40663-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40663-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40663-001.jpg,1,0,,2026-08-18T03:31:00.208642+00:00
MET:2025.392,2025.392,911889,The Herd Boy and the Weaving Maiden,牛郎織女,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Hanging scroll; woodblock print; ink on paper with additional hand coloring,"Image: 38 3/8 × 20 3/4 in. (97.5 × 52.7 cm)
Overall with mounting: 79 1/8 × 23 1/4 in. (201 × 59 cm)
Overall with knobs: 79 1/8 × 25 in. (201 × 63.5 cm)",Prints,Asian Art,"Purchase, C.C. Wang Family Fund Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911889,https://collectionapi.metmuseum.org/public/collection/v1/objects/911889,https://images.metmuseum.org/CRDImages/as/original/DP-40664-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40664-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-40664-001.jpg,1,0,,2026-08-18T03:31:00.691535+00:00
