machine_id,accession,accession_base,component_suffix,object_id,inferred_record_kind,inferred_cover_accession,multipart_group_size_records,title_en,title_zh,culture,date,type,technique,provenance_raw,acquisition_mode,share_license_status,object_url,web_image_url,print_image_url,full_image_url,has_web_image,has_print_image,has_full_image,in_core_2025_purchase_block,physical_print_contribution_inferred,cma_jpeg_caption_endpoint,cma_tiff_endpoint,updated_at
CMA:2025.39,2025.39,2025.39,,679040,object,,1,Happy Birds in a Spring Garden,春苑喜鳥圖,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.39,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.39,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.39,2026-05-29 09:15:58.028000
CMA:2025.40,2025.40,2025.40,,679051,object,,1,The God of War,關羽,"China, Qing dynasty (1644–1911), Kangxi reign (1622–1722) to Yongzheng reign (1723–35)",1662–1735,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.40,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.40,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.40,2026-05-29 09:15:58.112000
CMA:2025.41,2025.41,2025.41,,679056,object,,1,Zhang Xian Shoots the Heavenly Dog,張仙射天狗,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.41,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.41,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.41,2026-05-29 09:15:59.388000
CMA:2025.42,2025.42,2025.42,,679053,object,,1,Lady watching a swallow,,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; multicolor woodblock print on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.42,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_web.jpg,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_print.jpg,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.42,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.42,2026-08-13 11:44:38.247000
CMA:2025.43,2025.43,2025.43,,679054,object,,1,Lady with water basin,,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; multicolor woodblock print on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.43,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_web.jpg,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_print.jpg,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.43,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.43,2026-08-13 11:44:38.256000
CMA:2025.44,2025.44,2025.44,,679052,object,,1,Zhang Xian Shoots the Heavenly Dog,張仙射天狗,"China, Qing dynasty (1644–1911), Daoguang reign (1821–50)",1821–50,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.44,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_web.jpg,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_print.jpg,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.44,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.44,2026-05-29 09:15:58.644000
CMA:2025.45,2025.45,2025.45,,679059,object,,1,The God of War,關羽,China,1950s,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,Copyrighted,https://clevelandart.org/art/2025.45,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.45,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.45,2026-05-01 06:55:33.660000
CMA:2025.46,2025.46,2025.46,,679060,object,,1,Gusu Beauties of the Four Seasons – Summer,四季姑蘇美人圖 - 夏,"Southeast China, Suzhou Qing dynasty (1644–1911), Qianlong period (1736–95)",1736–95,Print,"Multicolor woodblock print; ink and color on paper, framed","(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.46,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_web.jpg,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_print.jpg,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.46,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.46,2026-08-15 11:17:58.699000
CMA:2025.47,2025.47,2025.47,,679065,object,,1,Gusu Beauty – Mother and Son in a Summer Pavilion,姑蘇美人 – 夏日亭畔母子圖,"Southeast China, Suzhou Qing dynasty (1644–1911), Qianlong period (1736–95)",1736–95,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.47,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_web.jpg,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_print.jpg,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.47,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.47,2026-08-15 11:17:58.748000
CMA:2025.48,2025.48,2025.48,,679061,object,,1,Gusu Beauties of the Four Seasons—Spring,四季姑蘇美人圖 – 春,"Southeast China, Suzhou Qing dynasty (1644–1911), Qianlong period (1736–95)",1736–95,Print,Multicolor woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.48,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_web.jpg,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_print.jpg,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.48,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.48,2026-08-15 11:17:58.710000
