machine_id,accession,accession_base,id,record_type,cover_accession_number,title_en,title_zh,culture,creation_date,type,technique,share_license_status,legal_status,accession_date,url,api_url,image_web,image_print,image_full,has_web_image,has_print_image,has_full_image,provenance_raw,acquisition_mode,api_http_status,api_checked_utc
CMA:2025.39,2025.39,2025.39,679040,object,,Happy Birds in a Spring Garden,春苑喜鳥圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.39,https://openaccess-api.clevelandart.org/api/artworks/2025.39,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:17.619463+00:00
CMA:2025.40,2025.40,2025.40,679051,object,,The God of War,關羽,"['China, Qing dynasty (1644–1911), Kangxi reign (1622–1722) to Yongzheng reign (1723–35)']",1662–1735,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.40,https://openaccess-api.clevelandart.org/api/artworks/2025.40,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:17.817238+00:00
CMA:2025.41,2025.41,2025.41,679056,object,,Zhang Xian Shoots the Heavenly Dog,張仙射天狗,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.41,https://openaccess-api.clevelandart.org/api/artworks/2025.41,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:18.001444+00:00
CMA:2025.42,2025.42,2025.42,679053,object,,Lady watching a swallow,,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Hanging scroll; multicolor woodblock print on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.42,https://openaccess-api.clevelandart.org/api/artworks/2025.42,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_web.jpg,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_print.jpg,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_full.tif,1,1,1,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:18.196342+00:00
CMA:2025.43,2025.43,2025.43,679054,object,,Lady with water basin,,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Hanging scroll; multicolor woodblock print on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.43,https://openaccess-api.clevelandart.org/api/artworks/2025.43,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_web.jpg,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_print.jpg,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_full.tif,1,1,1,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 1}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 2}]",sold,200,2026-08-18T03:25:18.387518+00:00
CMA:2025.44,2025.44,2025.44,679052,object,,Zhang Xian Shoots the Heavenly Dog,張仙射天狗,"['China, Qing dynasty (1644–1911), Daoguang reign (1821–50)']",1821–50,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.44,https://openaccess-api.clevelandart.org/api/artworks/2025.44,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_web.jpg,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_print.jpg,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_full.tif,1,1,1,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 1}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 2}]",sold,200,2026-08-18T03:25:18.581654+00:00
CMA:2025.45,2025.45,2025.45,679059,object,,The God of War,關羽,['China'],1950s,Print,Polychrome woodblock print; ink and color on paper,Copyrighted,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.45,https://openaccess-api.clevelandart.org/api/artworks/2025.45,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 1}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 2}]",sold,200,2026-08-18T03:25:18.775619+00:00
CMA:2025.46,2025.46,2025.46,679060,object,,Gusu Beauties of the Four Seasons–Summer,四季姑蘇美人圖 - 夏,"['Southeast China, Suzhou Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,Print,"Multicolor woodblock print; ink and color on paper, framed",CC0,accessioned,2025-03-03T00:00:00-05:00,https://clevelandart.org/art/2025.46,https://openaccess-api.clevelandart.org/api/artworks/2025.46,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_web.jpg,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_print.jpg,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_full.tif,1,1,1,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:18.971600+00:00
CMA:2025.47,2025.47,2025.47,679065,object,,Gusu Beauty–Mother and Son in a Summer Pavilion,姑蘇美人 – 夏日亭畔母子圖,"['Southeast China, Suzhou Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T00:00:00-05:00,https://clevelandart.org/art/2025.47,https://openaccess-api.clevelandart.org/api/artworks/2025.47,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_web.jpg,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_print.jpg,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_full.tif,1,1,1,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:19.155754+00:00
CMA:2025.48,2025.48,2025.48,679061,object,,Gusu Beauties of the Four Seasons—Spring,四季姑蘇美人圖 – 春,"['Southeast China, Suzhou Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,Print,Multicolor woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T00:00:00-05:00,https://clevelandart.org/art/2025.48,https://openaccess-api.clevelandart.org/api/artworks/2025.48,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_web.jpg,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_print.jpg,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_full.tif,1,1,1,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:19.345114+00:00
